,circuit,n_qubits,depth,n_2q_gates,itensors_time,itensors_fidelity,quimb_time,quimb_fidelity,pytket-cutn_time,pytket-cutn_fidelity
368,TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.1_n_trotter_steps=6_Lx=8_Ly=7.json,56,97,672,2951.296514031,0.7295378360803049,,,662.7945652008057,0.7295952965144835
369,XZ_square_PBC_J=1_dt=0.5_n_trotter_steps=4_Lx=8_Ly=7.json,56,135,1008,oom,oom,13406.05638217926,nan,1159.9971680641174,1.2702833236349454e-25
370,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.1_n_trotter_steps=20_Lx=4_Ly=7.json,56,81,1680,oom,oom,,,1984.2453544139862,0.27573943412513363
371,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=8_Lx=8_Ly=7.json,56,129,896,oom,oom,,,1050.2539987564087,2.9229553314806025e-15
372,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=4_Lx=8_Ly=7.json,56,30,388,905.057165475,0.8167210964115521,,,219.0767469406128,0.817119479419062
373,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=16_Lx=8_Ly=7.json,56,90,1552,oom,oom,,,1272.1814503669739,3.756534725750959e-14
374,TFIM_square_PBC_Jz=1.0_hx=4.0_dt=0.1_n_trotter_steps=20_Lx=8_Ly=7.json,56,321,2240,oom,oom,,,2673.099376440048,0.16002811171043865
375,TFIM_honeycomb_obc_Jz=1.0_hx=3.0_dt=0.5_n_trotter_steps=18_Lx=4_Ly=7.json,56,73,1314,2091.861085437,0.999457958764868,,,478.0093460083008,0.9994580678208965
376,XZ_honeycomb_obc_J=1_dt=0.3_n_trotter_steps=16_Lx=4_Ly=7.json,56,99,2409,oom,oom,,,956.2706944942474,0.20931258548061304
377,XZ_honeycomb_PBC_J=1_dt=0.3_n_trotter_steps=4_Lx=4_Ly=7.json,56,27,756,oom,oom,,,978.4409868717194,0.08840170240017071
378,XZ_square_obc_J=1_dt=0.5_n_trotter_steps=8_Lx=8_Ly=7.json,56,77,1649,oom,oom,,,1386.8441469669342,2.585561817079616e-20
379,XZ_honeycomb_obc_J=1_dt=0.5_n_trotter_steps=16_Lx=4_Ly=7.json,56,99,2409,oom,oom,,,1013.0536749362946,8.871388977273309e-14
380,TFIM_honeycomb_PBC_Jz=1.0_hx=3.0_dt=0.1_n_trotter_steps=4_Lx=4_Ly=7.json,56,17,336,2041.599924486,0.8648187211978866,,,392.66385650634766,0.8653300589259684
381,TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.3_n_trotter_steps=10_Lx=4_Ly=7.json,56,41,730,1071.598703573,0.14209219551865765,,,262.2405457496643,0.14203973746907955
382,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=6_Lx=8_Ly=7.json,56,97,672,3139.584591872,3.2872900294191335e-12,,,784.3598628044128,2.962068549152823e-12
